image src, ratio, largura na pagina, largura real da imagem
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169818-1166539----breyers-delight-pint-vanilla-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166317-breyers-delight-scoop-vanilla-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166535-breyers-delight-pint-raspberry-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166310-breyers-delight-scoop-raspberry-v1.png.rendition.767.767.png,0.11,58,490


 page: https://www.breyers.com/us/en/articles/gelato.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166601-breyers-gelato-scoop-brownie-batter-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169857-breyers-gelato-pint-brownie-batter-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166619-breyers-gelato-scoop-vanilla-caramel-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169867-breyers-gelato-pint-vanilla-caramel-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166611-breyers-gelato-scoop-raspberry-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169865-breyers-gelato-pint-raspberry-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166604-breyers-gelato-scoop-dough-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169858-breyers-gelato-pint-dough-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166603-breyers-gelato-scoop-fudge-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169859-breyers-gelato-pint-fudge-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166622-breyers-gelato-scoop-peanut-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169863-breyers-gelato-pint-peanut-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166610-breyers-gelato-scoop-pistachio-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169864-breyers-gelato-pint-pistachio-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1166613-breyers-gelato-scoop-salted-caramel-v1.png.rendition.767.767.png,0.11,58,490
https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1169866-breyers-gelato-pint-salted-caramel-v1.png.rendition.767.767.png,0.11,58,490


 page: https://www.breyers.com/us/en/articles/pledge.html 



 page: https://www.breyers.com/us/en/articles/vanilla.html 

https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/d439dbff-09c0-40e4-88f7-79632d55f2f9.png,0.48,693,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/96f24bcd-a59f-42d7-86d7-07ab0b95340f.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/6f6e3556-1c67-4a9b-b549-7e647957045f.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/4a69a104-81de-43ad-ac71-3af189153603.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/c9576d9d-12bd-4caa-af78-e261ee307333.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/79267cba-3dbc-4cdb-bdc7-3f055df04645.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/41dc4f07-93e2-4974-99c2-2c7bfb68e89d.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/2dd1c725-dca4-4445-9609-188fe2423998.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/0e40f999-3f06-4a4e-9387-4b21903cce86.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/4dd02885-d8b8-45e4-b25f-ed604ae38f47.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/5b83342d-5e94-452c-ac47-0c12ff75e282.jpg,0.22,327,1440
https://scm-assets.constant.co/scm/unilever/2bb5223be0548fcc55c230aa5f951219/e4419370-5033-4453-a635-4cf69c20e9f6.jpg,0.22,327,1440


 page: https://www.breyers.com/us/en/carbsmart.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/contact.html 



 page: https://www.breyers.com/us/en/contact/email-us.html 



 page: https://www.breyers.com/us/en/contact/faq.html 



 page: https://www.breyers.com/us/en/cookies-candies.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/delights.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/fat-free.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/gelato-indulgences.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/gluten-free-ice-cream.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/grade-a-milk-and-cream-video.html 



 page: https://www.breyers.com/us/en/lactose-free-ice-cream.html 

https://www.breyers.com/sk-eu/content/dam/brands/breyers/north_america/1189979-breyers-feature-content-v1.jpg.rendition.767.767.jpg,0.49,638,1280


 page: https://www.breyers.com/us/en/no-sugar-added-frozen-dessert.html 

